53 50 31 92 21 74 31 22 | 0 66 90 63 35 29 76 67
63 70 69 94 12 87 9 | 0 98 64 97 63 2 37
2 49 8 81 82 | 29 11 74 0 79
35 65 40 72 79 95 93 | 67 73 83 86 1 61 91
0 1 2 3 4 5 6 7 8 9 | 1 2 3 4 5 6 7 8 9 10
61 94 | 92 31
57 41 52 57 45 97 89 | 0 80 32 11 23 19 4
54 35 79 48 36 93 99 21 90 34 | 29 44 76 32 94 73 56 96 83 8
87 19 83 89 50 77 76 | 12 95 99 56 71 6 3
85 75 79 43 7 71 34 30 83 | 46 86 91 25 42 31 11 99 91
1 17 88 17 11 16 94 27 84 | 77 36 18 53 6 12 17 92 37
3 43 87 46 86 58 58 4 | 94 40 4 72 9 24 7 33
89 56 18 | 37 52 55
19 60 19 29 73 | 21 94 50 43 21
76 80 | 53 61
99 8 | 36 72
96 45 37 83 75 53 6 37 5 59 | 23 8 2 22 66 77 64 72 66 0
64 89 65 51 36 90 21 3 35 12 | 9 75 94 21 8 19 51 76 2 0
61 | 48
37 35 55 97 55 46 89 28 70 | 19 69 7 29 15 57 99 86 20
3 86 34 10 68 | 47 34 67 61 86
5 | 22
0 17 14 15 26 65 9 44 67 13 | 25 96 60 9 72 98 91 62 47 53
5 71 65 | 4 4 5
99 75 0 | 55 65 59
93 84 27 56 94 | 49 36 72 64 17
57 68 91 43 60 48 | 6 28 77 60 30 71
21 80 81 72 24 28 86 99 9 | 88 87 72 99 25 1 24 43 28
11 14 88 50 43 74 90 | 28 13 15 31 34 58 1
78 31 8 57 88 3 19 8 | 33 91 14 77 82 93 35 41
73 38 67 36 17 77 44 25 35 | 50 9 61 93 5 51 40 25 22
44 67 88 35 | 91 81 55 1
2 67 24 93 83 1 55 28 | 68 95 21 96 27 67 79 81
22 22 36 36 15 | 95 4 1 38 75
35 98 85 5 28 61 | 15 73 19 58 12 8
79 43 31 25 38 83 | 69 36 86 57 70 87
43 78 72 36 | 98 16 5 26
61 78 | 68 32
77 52 21 52 38 | 34 1 19 32 96
55 25 54 51 | 21 76 79 12
